Date,Close
2012. 6. 5 오후 3:30:00,103345
2012. 6. 7 오후 3:30:00,103100
2012. 6. 8 오후 3:30:00,103635
2012. 6. 11 오후 3:30:00,103170
2012. 6. 12 오후 3:30:00,103115
2012. 6. 13 오후 3:30:00,103165
2012. 6. 14 오후 3:30:00,103445
2012. 6. 15 오후 3:30:00,103420
2012. 6. 18 오후 3:30:00,103180
2012. 6. 19 오후 3:30:00,103355
2012. 6. 20 오후 3:30:00,103010
2012. 6. 21 오후 3:30:00,103085
2012. 6. 22 오후 3:30:00,103500
2012. 6. 25 오후 3:30:00,103460
2012. 6. 26 오후 3:30:00,103450
2012. 6. 27 오후 3:30:00,103565
2012. 6. 28 오후 3:30:00,103700
2012. 6. 29 오후 3:30:00,103520
2012. 7. 2 오후 3:30:00,103535
2012. 7. 3 오후 3:30:00,103600
2012. 7. 4 오후 3:30:00,103805
2012. 7. 5 오후 3:30:00,104070
2012. 7. 6 오후 3:30:00,104070
2012. 7. 9 오후 3:30:00,104145
2012. 7. 10 오후 3:30:00,104255
2012. 7. 11 오후 3:30:00,104210
2012. 7. 12 오후 3:30:00,105920
2012. 7. 13 오후 3:30:00,105860
2012. 7. 16 오후 3:30:00,106185
2012. 7. 17 오후 3:30:00,106395
2012. 7. 18 오후 3:30:00,106800
2012. 7. 19 오후 3:30:00,106760
2012. 7. 20 오후 3:30:00,106625
2012. 7. 23 오후 3:30:00,107315
2012. 7. 24 오후 3:30:00,107165
2012. 7. 25 오후 3:30:00,107895
2012. 7. 26 오후 3:30:00,107805
2012. 7. 27 오후 3:30:00,107195
2012. 7. 30 오후 3:30:00,107025
2012. 7. 31 오후 3:30:00,107015
2012. 8. 1 오후 3:30:00,106885
2012. 8. 2 오후 3:30:00,107045
2012. 8. 3 오후 3:30:00,107740
2012. 8. 6 오후 3:30:00,107805
2012. 8. 7 오후 3:30:00,107840
2012. 8. 8 오후 3:30:00,107715
2012. 8. 9 오후 3:30:00,107655
2012. 8. 10 오후 3:30:00,107780
2012. 8. 13 오후 3:30:00,107650
2012. 8. 14 오후 3:30:00,107330
2012. 8. 16 오후 3:30:00,106570
2012. 8. 17 오후 3:30:00,106800
2012. 8. 20 오후 3:30:00,106745
2012. 8. 21 오후 3:30:00,107060
2012. 8. 22 오후 3:30:00,107060
2012. 8. 23 오후 3:30:00,107175
2012. 8. 24 오후 3:30:00,107545
2012. 8. 27 오후 3:30:00,107710
2012. 8. 28 오후 3:30:00,107735
2012. 8. 29 오후 3:30:00,107980
2012. 8. 30 오후 3:30:00,108005
2012. 8. 31 오후 3:30:00,108090
2012. 9. 3 오후 3:30:00,108320
2012. 9. 4 오후 3:30:00,108260
2012. 9. 5 오후 3:30:00,108450
2012. 9. 6 오후 3:30:00,108320
2012. 9. 7 오후 3:30:00,107860
